PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
1481,"HAM","3,12","Meonstoke","Alverstoke",,,"SZ6098",
1486,"GLS","31,2(-3)","Lydney","`Alverston'",,,"ST5999",
1491,"HAM","IoW6,22","Bowcombe","Alverstone","Isle of Wight",,"SZ5785",
1496,"CON","5,1,11","`Connerton'","Alverton",,,"SW4629",
1501,"NTT","11,3. 20,2. 22,1","Newark","Alverton",,,"SK7942",
1506,"OXF","58,21","Bampton","Alvescot",,,"SP2704",
1511,"GLS","1,14","`Langley'","Alveston",,,"ST6288",
1516,"WAR","3,3-4","Pathlow","Alveston",,,"SP2356",
1521,"WIL","12,4","Bradford","{Alvestone}",,,"ST8260","speculative"
1526,"LIN","1,88. 4,58. 27,22-23. 40,25","`Louthesk'","Alvingham","Lindsey South Riding",,"TF3691",
1531,"GLS","E8","Bromsash","Alvington",,,"SO6000",
1536,"HEF","17,1","Bromsash","Alvington",,,"SO6000",
1541,"HAM","IoW1,15","Bowcombe","Alvington","Isle of Wight",,"SZ4788",
1546,"DEV","1,16","Diptford","[West] Alvington",,,"SX7243",
1551,"HUN","8,2(-3)","Normancross","Alwalton",,,"TL1395",
1556,"DEV","34,4","Black Torrington","{Alwineclancavele}",,,,"unknown"
1561,"DEV","15,57","Bampton","{Alwinestone}",,,,"unknown"
1566,"DEV","15,8","Merton","Alwington",,,"SS4023",
1571,"SOM","21,22","Cannington","`Alwin's Land'",,,,"unknown"
1576,"OXF","45,3","Bampton","{Alwoldesberie}",,,"SP2604","speculative"
1581,"NTT","18,6","Thurgarton","{Alwoldestorp}",,,"SK6946","speculative"
1586,"YKS","1W16 and note. SW,Sk15","`Skyrack'","Alwoodley","West Riding",,"SE3141",
1591,"SHR","4,27,17","{Reweset}","`Amaston'",,,"SJ3711",
1596,"DBY","9,1","Litchurch","Ambaston",,,"SK4232",
1601,"ESS","34,19","Uttlesford","Amberden [Hall]",,,"TL5530",
1606,"HEF","21,5","{Tornelaus}","Amberley",,,"SO5447",
1611,"SUS","3,5","`Easwrithe'","Amberley","Arundel",,"TQ0213",
1616,"CON","5,4,10","Stratton","[Chaple, Middle and Lower] Amble",,,,
1621,"STS","12,14","Seisdon","Amblecote",,,"SO8985",
1626,"OXF","26,1","Headington","Ambrosden",,,"SP6019",
1631,"LIN","63,16(-18). CW17","Epworth","Amcotts","Lindsey West Riding",,"SE8514",
1636,"BUK","4,11. 12,4. 21,1. 26,2. 36,2. 38,1. 44,1","Burnham","Amersham",,,"SU9697",
1641,"STS","8,13","Pirehill","Amerton",,,"SJ9927",
1646,"HAM","1,31. EW1","Amesbury","Amesbury",,,"SU1541",
1651,"WIL","1,3. 24,16-17","Amesbury","Amesbury",,,"SU1541",
1656,,,,"Amington: see {Ermendone} WAR",,"{Ermendone} WAR",,
1661,"YKS","1N62. 5N36 note. 23N24. 31N8. SN,Ma3-4","{Maneshou}","Amotherby","North Riding",,"SE7573",
1666,"YKS","2N10;14. 23N1. SN,Ma22","{Maneshou}","Ampleforth","North Riding",,"SE5878",
1671,"GLS","45,5","{Gersdones}","`Ampney'",,,"SU0799","approximate"
1676,"GLS","67,1(-2). 69,2. 77,1","{Gersdones}","Ampney [Crucis]",,,"SP0601",
1681,"GLS","1,65","{Gersdones}","[Down] Ampney",,,"SU0996",
1686,"GLS","67,2 note","{Gersdones}","`Ampney [Mareys]'",,,"SP0704","approximate"
1691,"GLS","26,1","{Gersdones}","Ampney [St Mary]",,,"SP0802",
1696,"GLS","60,3","{Gersdones}","`Ampney [St Nicholas]'",,,"SP0801","approximate"
1701,"GLS","10,12","{Gersdones}","Ampney [St Peter]",,,"SP0701",
1706,"HAM","23,44. 29,15","Andover","Amport",,,"SU2944",
1711,"BDF","24,10","`Redbornstoke'","Ampthill",,,"TL0338",
1716,"SUF","14,64","Thedwastre","Ampton",,,"TL8671",
1721,"ESS","1,3","Hertford","[Great and Little] Amwell",,,,
1726,"HRT","23,4. 34,13","Hertford","[Great and Little] Amwell",,,,
1731,"SOM","8,1","Glastonbury","`Andersey'",,,"ST4550",
1736,,,,"Anderson: see `Winterborne' [Eastern Winterborne] DOR",,"`Winterborne' (Eastern Winterborne) DOR",,
1741,"HAM","1,41","Andover","Andover",,,"SU3645",
1746,"YKS","14E4 and note. CE46. SE,Hol7","Holderness [South Hundred]","{Andrebi}","East Riding",,"TA2933","approximate"
