PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing
30336,HAM,"3,27",`Bosbarrow',Havant,,,SU7106,,50.849162,-0.992804,471000.0,106000.0
30541,HAM,"1,12. 3,25. 10,1",`Bosbarrow',[North and South] Hayling [Island],Hayling,Eastoke HAM,,approximate,,,,
30636,HAM,"20,2",Neatham,Headley,,,SU8236,,51.117427,-0.829821,482000.0,136000.0
30701,HAM,"1,W15",Bowcombe,Heasley,Isle of Wight,,SZ5485,,50.662166,-1.237342,454000.0,85000.0
30776,HAM,"23,36",Holdshott,Heckfield,,,SU7260,,51.334544,-0.967851,472000.0,160000.0
31346,HAM,"23,29",Bermondspit,Herriard,,,SU6646,,51.209401,-1.056546,466000.0,146000.0
31941,HAM,"NF9,31",Boldre,Hincheslea,,,SU2700,,50.798928,-1.618242,427000.0,100000.0
32031,HAM,"NF3,10;14",`Rowditch',Hinton and Hinton [Admiral],,,,,,,,
32036,HAM,"3,18",Mansbridge,Hinton [Ampner],,,SU5927,,51.039331,-1.159848,459000.0,127000.0
32201,HAM,"NF9,11",`Edgegate',Hoburne,,,SZ1993,,50.736295,-1.732117,419000.0,93000.0
32281,HAM,"3,22",Hoddington,Hoddington,,,SU7047,,51.217916,-0.999099,470000.0,147000.0
32316,HAM,"23,20",Meonstoke,[East] Hoe,,,SU6315,,50.931012,-1.10488,463000.0,115000.0
32411,HAM,"1,29. 17,1",`Edgegate',Holdenhurst,,,SZ1295,,50.754466,-1.831245,412000.0,95000.0
32811,HAM,"1,3. NF10,5",Neatham,Holybourne,,,SU7341,,51.163597,-0.957371,473000.0,141000.0
32966,HAM,"23,14",Titchfield,Hook,,,SU4904,,50.833456,-1.305556,449000.0,104000.0
33156,HAM,"NF5,1",`Rowditch',Hordle,,,SZ2795,,50.753966,-1.618608,427000.0,95000.0
33526,HAM,"69,23",Broughton,{Hotlop},,,,unknown,,,,
33566,HAM,"2,20. 21,5. 23,16. 40,1. 68,3",Somborne,Houghton,,,SU3432,,51.086308,-1.515936,434000.0,132000.0
33656,HAM,"23,18",Mansbridge,Hound,,,SU4708,,50.869589,-1.333441,447000.0,108000.0
33846,HAM,"IoW9,14;20",Bowcombe,`Huffingford',Isle of Wight,,SZ5086,speculative,50.671515,-1.293796,450000.0,86000.0
34216,HAM,"23,61",`Edgegate',Hurn,,,SZ1297,,50.772451,-1.831181,412000.0,97000.0
34246,HAM,"3,6",`Evingar',Hurstbourne [Priors],,,SU4346,,51.211589,-1.385778,443000.0,146000.0
34251,HAM,"1,44",Hurstbourne,Hurstbourne [Tarrant],,,SU3853,,51.274883,-1.456614,438000.0,153000.0
34451,HAM,"23,52",Fordingbridge,Ibsley,,,SU1509,,50.880293,-1.78815,415000.0,109000.0
35156,HAM,"3,8",Crondall,Itchel,,,SU7849,,51.234861,-0.884142,478000.0,149000.0
35161,HAM,"44,1",`Bountisborough',Itchen [Abbas],,,SU5332,,51.084872,-1.244686,453000.0,132000.0
35521,HAM,"23,9",Basingstoke,Kempshott,,,SU5947,,51.219157,-1.156577,459000.0,147000.0
35701,HAM,"1,W11",Bowcombe,Kern,Isle of Wight,,SZ5786,,50.670872,-1.194747,457000.0,86000.0
