PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61356,CHS,"9,14(-15)",{Tunendune},[Over] Tabley,,,SJ7280,,53.316201,-2.421749,372000.0,380000.0,1066,1086
61361,WAR,"2,3",`Tremlowe',[Bishops] Tachbrook,,,SP3161,,52.246328,-1.547362,431000.0,261000.0,1066,1086
61366,WAR,"16,58",Stoneleigh,Tachbrook [Mallory],,,SP3162,,52.255318,-1.547271,431000.0,262000.0,1066,1086
61371,CON,"5,24,18",Stratton,Tackbear,,,SS2501,,50.782093,-4.48383,225000.0,101000.0,1066,1086
61376,DEV,EC2,Stratton,Tackbear,,,SS2501,,50.782093,-4.48383,225000.0,101000.0,1066,1086
61381,OXF,"15,3",Wootton,Tackley,,,SP4720,,51.876603,-1.318654,447000.0,220000.0,1066,1086
61386,NFK,"1,237. 9,224",`Depwade',Tacolneston,,,TM1495,,52.510883,1.15217,614000.0,295000.0,1066,1086
61391,YKS,"13W1. CW3;5. SW,BA12",Barkston,Tadcaster,West Riding,,SE4843,,53.880999,-1.271316,448000.0,443000.0,1066,1086
61396,DBY,"1,28",Blackwell,Taddington,,,SK1471,,53.235867,-1.791707,414000.0,371000.0,1066,1086
61401,GLS,"1,28",Tewkesbury,Taddington,,,SP0831,,51.977418,-1.88493,408000.0,231000.0,1066,1086
61406,CAM,"32,7. 41,9. 42,1",`Arringford',Tadlow,,,TL2847,,52.106539,-0.132407,528000.0,247000.0,1066,1086
61411,OXF,"9,9a(-9b)",Bloxham,Tadmarton,,,SP3937,,52.030056,-1.432936,439000.0,237000.0,1066,1086
61416,SOM,"45,7-8",Bath,Tadwick,,,ST7470,,51.4284,-2.375363,374000.0,170000.0,1066,1086
61421,SUR,"5,21. 20,1",`Copthorne',Tadworth,,,TQ2356,,51.289858,-0.237442,523000.0,156000.0,1066,1086
61426,ESS,"14,3. 25,15. 32,17",Uttlesford,Takeley,,,TL5521,,51.866058,0.249791,555000.0,221000.0,1066,1086
61431,DEV,"2,14",Silverton,Talaton,,,SY0699,,50.782919,-3.334764,306000.0,99000.0,1066,1086
61441,STS,"17,14",Pirehill,Talke,,,SJ8253,,53.073941,-2.270118,382000.0,353000.0,1066,1086
61446,LIN,"18,12. 27,38(-39). CK1",`Ness',Tallington,Kesteven,,TF0907,,52.649809,-0.390231,509000.0,307000.0,1066,1086
