"","id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp","model_age_mean","model_age_sd"
"724",817,"square",100.304791,2876.069462,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Top (Pr.)",1067.198,"Date derived through multiple linear regression (Klassen et al. 2018).",103.91984,13.42805,"regression",383083,1484721,NA,897.257630504948,140.700744818594
"725",347,"horseshoe_east",89.51577,2895.073253,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Kôk Tbong",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",104.06631,13.31099,"regression",398868.9,1471712,NA,916.929229906696,138.635014116244
"726",1022,"square",88.672534,2908.901714,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unknown",982,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.87618,13.39845,"graphbased",378317.7,1481472,NA,1024.95633524681,141.265921280962
"727",1056,"square",91.041558,2918.423272,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Unknown",986,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.75943,13.42455,"graphbased",365682.2,1484432,NA,920.291637242243,139.672233780242
"728",482,"square",88.515181,2925.068751,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Kdei",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.81418,13.33564,"regression",371551.9,1474559,NA,921.501436591714,139.3783761189
"729",422,"horseshoe_east",65.48201,2928.370739,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kôk Neak Ta",1067.198,"Date derived through multiple linear regression (Klassen et al. 2018).",103.73878,13.39908,"regression",363453.7,1481626,NA,962.426238428104,140.561889880979
"730",1476,"blob",96.863692,2932.353472,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Ta Te (T.)",930,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.96618,13.35747,"graphbased",NA,NA,NA,1003.30023501769,157.497703391252
"731",670,"square",89.313889,2939.855499,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Trâpeang Koung",865.0443,"Date derived through multiple linear regression (Klassen et al. 2018).",104.04024,13.41843,"regression",396093.4,1483613,NA,1030.25414087513,142.564549642567
"732",622,"causeway_4",90,2941.529828,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Tuol Chba Ta Poy",1005,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.85609,13.50172,"graphbased",376200.7,1492905,NA,900.256747392763,149.461101899537
"733",752,"square",90,2948.982493,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Ta Ong (Pr.)",901,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",104.2372,13.54717,"graphbased",NA,NA,NA,974.828169625514,168.955356032102
"734",329,"square",106.448612,2953.688708,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Unknown",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",104.0724,13.34578,"regression",399326.6,1475562,NA,971.769485199271,169.26079935243
"735",198,"square",68.585378,2960.405783,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"Unknown",1132.733,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77435,13.48341,"regression",367351.2,1490937,NA,975.975486518311,168.349540238236
